,latitud,longitud,property_rooms,property_surface_total,property_type_Departamento,property_type_PH
272372,-34.5943059,-58.5092095,3.0,50.0,1,0
96335,-34.5818982438,-58.4091072116,2.0,49.0,1,0
168592,-34.580818,-58.491051,2.0,66.0,1,0
384529,-34.5893252,-58.4473975,2.0,38.0,1,0
74342,-34.5993514,-58.4237701,2.0,58.0,1,0
182405,-34.5837413,-58.4747531,1.0,35.0,1,0
86754,-34.570723,-58.495989,2.0,45.0,1,0
13866,-34.6758127,-58.4738931,3.0,91.0,1,0
192960,-34.58045197,-58.43397903,2.0,60.0,1,0
218420,-34.5672732,-58.4320439,5.0,200.0,1,0
317557,-34.6331517,-58.4100139,7.0,185.0,0,0
212795,-34.6216766,-58.4381397,2.0,36.0,1,0
192879,-34.63027,-58.418842,2.0,42.0,1,0
303276,-34.5752647,-58.4842655,4.0,121.0,1,0
430577,-34.60068,-58.390927,1.0,25.0,1,0
122164,-34.594273,-58.3992766,4.0,121.0,1,0
275247,-34.5763392,-58.4583364,3.0,81.0,1,0
77369,-34.5823396,-58.4093405,2.0,42.0,1,0
354494,-34.582706,-58.4685056,2.0,43.0,1,0
193428,-34.611136,-58.431205,1.0,36.0,1,0
319377,-34.598615,-58.4997772,1.0,29.0,1,0
451172,-34.6342633,-58.3765252,3.0,64.0,1,0
82697,-34.577955,-58.4309572,2.0,65.0,0,1
237432,-34.5965414,-58.3948303,7.0,310.0,0,1
204633,-34.6305389,-58.4741847,4.0,88.0,0,1
282838,-34.6194061,-58.4519993,3.0,78.0,1,0
340158,-34.5726363,-58.4859905,1.0,36.0,1,0
60052,-34.594491,-58.3838831,3.0,66.0,1,0
65778,-34.578703,-58.4646661,3.0,90.0,1,0
198809,-34.5835699,-58.3956148,2.0,27.0,1,0
195157,-34.6128873,-58.4189439,3.0,51.0,1,0
453033,-34.6114294,-58.3791794,3.0,58.0,1,0
152911,-34.5813998,-58.4827162,7.0,223.3,0,0
121835,-34.572946,-58.4817213,2.0,65.0,1,0
157049,-34.6368755,-58.4713187,2.0,55.0,1,0
211577,-34.6052319841,-58.4822221259,2.0,44.0,1,0
332170,-34.5513806405,-58.4525560513,4.0,113.0,1,0
227257,-34.5885033,-58.4071786,4.0,127.0,1,0
187958,-34.6045384,-58.4249555,1.0,32.0,1,0
310303,-34.559047,-58.4466889,2.0,46.0,1,0
218980,-34.6014252,-58.4238389,2.0,33.0,1,0
196192,-34.6323274,-58.4534774,2.0,38.0,1,0
320347,-34.589001524886875,-58.44703611653419,4.0,134.0,1,0
259652,-34.5838582,-58.4147583,3.0,58.0,1,0
220749,-34.5988957,-58.3737965,2.0,68.0,1,0
221050,-34.6286235,-58.4811614,3.0,65.0,1,0
150505,-34.5813069,-58.4338081,2.0,35.0,1,0
133436,-34.5726353,-58.4458689,4.0,94.0,1,0
262202,-34.6009403,-58.4048252,3.0,90.0,1,0
46790,-34.557254,-58.445597,2.0,73.0,1,0
98933,-34.6379388052,-58.5118721352,2.0,38.0,1,0
323755,-34.6272421,-58.4295917,1.0,43.0,1,0
365479,-34.5819839065,-58.4279450479,4.0,74.0,1,0
125048,-34.59091464622883,-58.451946290656224,4.0,165.1,1,0
337145,-34.6000641,-58.4299098,3.0,71.0,1,0
373184,-34.6092346,-58.4774425,3.0,60.0,1,0
447578,-34.5928899,-58.4163207,3.0,91.3,1,0
251341,-34.5535312,-58.4678015,3.0,53.0,1,0
33026,-34.62642,-58.470111,7.0,274.0,1,0
143470,-34.617166316,-58.4532684088,3.0,63.0,1,0
286262,-34.619987,-58.389257,6.0,128.0,0,1
224371,-34.6233371,-58.4273849,3.0,52.0,1,0
149701,-34.5977766661,-58.4421653905,1.0,28.0,1,0
23152,-34.5971174,-58.391447,1.0,35.0,1,0
449815,-34.602897,-58.4272791,4.0,102.0,1,0
