,property_rooms,property_bedrooms,property_surface_total,property_surface_covered,cp_1,cp_5
4602,3.0,2.0,50.0,41.0,-0.6909344883115944,-0.3055562351375162
4603,1.0,1.0,36.0,32.0,-2.0683055082299577,0.1442566226892353
4604,3.0,2.0,50.0,50.0,-0.4330893486635999,-0.08873120438021757
4605,2.0,1.0,44.0,40.0,-1.6005625819884328,-0.048174106085493884
4606,2.0,1.0,42.0,42.0,-1.6672943089224619,0.34915823446896616
4607,1.0,1.0,36.0,32.0,-2.2490645192001644,0.178087272061491
4608,4.0,3.0,110.0,105.0,1.8391217210968505,0.5440790127993225
4609,1.0,1.0,38.0,33.0,-2.1368188954655185,0.08265336979240173
4610,4.0,3.0,155.0,101.0,2.4541475374993706,0.2547098876223613
4611,2.0,1.0,44.0,44.0,-1.5302276453134278,0.04109848391750237
4612,1.0,1.0,21.0,21.0,-2.599261923137968,-0.22172799936809082
4613,2.0,1.0,50.0,41.0,-1.6457674889572171,0.34106050273203464
4614,2.0,1.0,61.0,42.0,-1.366446547769694,0.13399943644650952
4615,5.0,1.0,123.9,97.0,1.5433193901945335,0.5093511883713702
4616,2.0,1.0,66.0,50.0,-0.8782010104552103,-0.14037269959988902
4617,3.0,2.0,60.0,56.0,-0.25807782863873313,-0.039198812537538194
4618,4.0,3.0,125.0,102.0,2.23700832945194,-0.2553658398629816
4619,2.0,1.0,62.0,57.0,-0.7555852116034745,-0.22590422132127527
4620,1.0,1.0,34.0,34.0,-2.2705101389547058,0.14808993999702613
4621,2.0,1.0,41.2,36.0,-1.7526116181822413,-0.22752467280008726
4622,3.0,2.0,114.0,95.0,1.0141484180864246,0.5165791127746842
4623,2.0,1.0,51.0,51.0,-1.439563196631692,0.2874004793146219
4624,5.0,2.0,91.0,91.0,1.2484034855797816,0.03619056775714269
4625,2.0,1.0,54.0,54.0,-1.382742984085987,0.11567823496644035
4626,1.0,1.0,36.0,29.0,-2.208506645296506,0.23164559566593662
4627,4.0,3.0,118.0,110.0,3.281796742497646,-1.47321584318941
4628,5.0,4.0,242.0,242.0,6.798469042457111,0.6609017594957453
4629,3.0,1.0,42.0,42.0,-1.1633576499598692,-0.32194470089571725
4630,3.0,2.0,111.0,111.0,1.916532103113472,-0.560870147938798
4631,4.0,3.0,117.0,117.0,3.0432403160201162,-0.8992568605368801
4632,2.0,1.0,41.0,37.0,-1.4472262929927984,-0.2921487743480075
4633,3.0,2.0,80.0,59.0,0.08822012036779199,-0.5077497671611292
4634,5.0,3.0,133.0,133.0,3.486029927819093,-0.23435624905682614
4635,1.0,1.0,35.0,35.0,-2.189790964344588,0.18539236239842802
4636,1.0,1.0,27.0,27.0,-2.455767182629058,0.25604420405805917
4637,2.0,1.0,49.0,46.0,-1.453127706590948,-0.013261102951756825
4638,1.0,1.0,50.0,44.0,-1.7120925884313076,0.12325841980031428
4639,2.0,1.0,36.0,30.0,-1.847011281966327,0.12967578227229848
4640,1.0,1.0,31.0,31.0,-2.2339590216670033,0.17772721918043052
4641,2.0,1.0,58.0,58.0,-1.2570730000662433,0.42207610955204367
4642,2.0,1.0,36.0,36.0,-1.7985568660858413,-0.1284422570614957
4643,2.0,2.0,131.0,103.0,1.5761119203441234,-0.31929744227178636
4644,3.0,2.0,53.0,50.0,-0.4069926930648778,-0.036483239328636376
4645,4.0,3.0,281.0,136.0,5.334888839983399,0.07468145297795108
4646,2.0,1.0,51.0,45.0,-1.2761037974961476,-0.3280293119401491
4647,3.0,2.0,63.0,58.0,-0.067861470541834,-0.09538649597532767
4648,1.0,1.0,40.0,40.0,-2.06367078925449,0.28558879707160345
4649,2.0,1.0,98.0,61.0,-0.42789993010218896,0.33375523408616464
4650,2.0,1.0,64.7,46.64,-1.0998502589706045,0.27548088991922737
4651,2.0,1.0,47.0,43.0,-1.279718581350298,-0.06657419275338917
4652,5.0,5.0,116.0,116.0,3.4235692405262066,0.01570100558813079
4653,2.0,1.0,45.0,36.0,-1.72022184601897,0.02374617587477171
4654,2.0,1.0,49.0,46.0,-1.4898978214416916,-0.22095487128583324
4655,3.0,2.0,63.0,58.0,-0.337975035947212,0.1880373600718847
4656,3.0,2.0,116.0,98.0,2.278620229542768,-1.551177848977023
4657,2.0,1.0,55.0,55.0,-0.6091478436755856,-0.6154860198022328
4658,5.0,3.0,165.0,115.0,3.485900465947789,0.24965639035000958
4659,2.0,1.0,50.0,42.0,-1.405601414417806,0.08195004329053988
4660,1.0,1.0,27.0,27.0,-2.4465365963242087,0.21875264043891127
4661,1.0,1.0,37.0,32.0,-2.080899406702602,0.2860909042896994
4662,1.0,1.0,31.0,30.0,-2.220723788427281,0.22715923427699403
4663,1.0,1.0,38.0,38.0,-2.133451945565049,0.1254011311271592
4664,2.0,1.0,58.0,36.0,-1.5171796547287162,0.34001860385687976
4665,3.0,2.0,64.0,60.0,0.027881325918142238,-0.18680735027248818
4666,4.0,3.0,145.0,140.0,4.1546439076780075,-1.358653304138862
4667,1.0,1.0,30.0,28.0,-2.2854326722992915,-0.08381070243501852
4668,3.0,2.0,88.0,74.0,1.4886657104581964,-1.6883729942087267
4669,3.0,2.0,67.0,60.0,-0.1345130000413728,-0.08229094997193488
4670,5.0,4.0,225.0,185.0,5.5483088105613545,0.8902508382171306
4671,2.0,1.0,47.0,42.0,-1.2026867066807756,-0.37819134343506766
4672,3.0,2.0,96.0,88.0,0.9259854919412398,0.045713791302538345
4673,4.0,3.0,96.0,87.0,1.7698963872514932,-0.32181001688783106
4674,5.0,4.0,204.0,153.0,4.535852640333683,0.5424839084582387
4675,3.0,2.0,51.0,51.0,-0.48571391445120987,0.05231308624469287
4676,3.0,2.0,105.0,74.0,0.6361068048051732,-0.1409967109568586
4677,4.0,3.0,70.0,65.0,0.7642155468221629,-0.34936638225976463
4678,1.0,1.0,34.0,34.0,-2.140738479271008,0.21993713729459946
4679,3.0,2.0,94.0,80.0,0.8307349858012959,-0.14701857568684096
4680,3.0,2.0,85.0,74.0,0.5260196955770531,-0.44796049322914133
4681,1.0,1.0,37.0,32.0,-2.14676914198357,0.14870768610486293
4682,3.0,2.0,141.0,55.0,0.7463774346359552,0.5795204522458505
4683,2.0,1.0,52.0,48.0,-1.4128405235353976,0.028076393993881402
4684,3.0,2.0,65.0,60.0,0.24183770240974028,-0.43071176509764103
4685,4.0,3.0,103.0,92.0,2.025315915751202,-0.2923771789205788
4686,5.0,4.0,142.0,142.0,3.665194829206476,0.526130391721805
4687,1.0,1.0,40.0,35.0,-2.170230687534854,0.48331681391811
4688,3.0,2.0,150.0,76.0,0.8610078703667949,0.7988194676922251
4689,3.0,2.0,57.0,54.0,-0.11883319666841191,-0.2733123735219184
4690,3.0,2.0,53.0,53.0,-0.28071867898908837,-0.19811965852879762
4691,3.0,2.0,102.6,77.0,0.6100962370021675,0.519264128773511
4692,4.0,2.0,101.0,100.0,1.2363073525661783,0.3928946049483311
4693,1.0,1.0,45.0,45.0,-1.9733165265077253,-0.23820669992318708
4694,6.0,5.0,284.0,178.0,6.221286436662487,1.8564116610154657
4695,5.0,4.0,226.0,189.0,5.258083205266964,0.9431956176345634
4696,3.0,2.0,77.0,59.9,0.6290328064166739,-0.8271894129109301
4697,3.0,2.0,166.0,83.0,1.684414170362886,0.3889743525707841
4698,6.0,4.0,192.0,190.0,6.180606793592765,-0.3254459410574328
4699,2.0,1.0,52.0,52.0,-1.2979125748450449,-0.17446949856105612
4700,4.0,3.0,102.0,95.0,1.630515854636592,0.2133600702680049
4701,2.0,1.0,33.0,33.0,-1.8525955133852217,0.16466524380713987
4702,3.0,2.0,94.0,72.0,0.24288594844553343,0.37668271314438767
4703,4.0,3.0,80.0,73.0,1.3749867470236377,-0.457659323044194
4704,4.0,3.0,111.0,83.0,1.535118599496669,0.2341589025568839
4705,2.0,1.0,65.0,55.5,-0.8600361570398593,0.13936817977294857
4706,4.0,3.0,98.0,88.0,1.734851332110789,-0.24499821934205096
4707,2.0,1.0,62.0,58.0,-1.0897557883725482,-0.24760656809549483
4708,3.0,2.0,52.0,45.0,-0.5387202574847545,-0.18967229027324348
4709,4.0,3.0,80.0,73.0,0.9884127577116527,0.08300813691507855
4710,2.0,1.0,81.0,78.0,-0.7194188067405389,0.7486285245711176
4711,4.0,3.0,80.0,71.0,1.1108496536046732,-0.04704647642578613
4712,2.0,1.0,42.0,42.0,-1.7156685068876947,0.06842486445746145
4713,4.0,3.0,94.0,87.0,1.9271859917048546,-1.0092854725736038
4714,3.0,2.0,59.0,57.0,-0.1578654536601733,0.007259564683198102
4715,4.0,3.0,189.0,154.0,4.541647145862453,-0.49003410740859316
4716,3.0,2.0,50.0,50.0,-0.5564067221591641,-0.22888828914902878
4717,2.0,1.0,52.0,52.0,-1.255423054618485,-0.41813707493787017
4718,2.0,1.0,44.0,38.0,-1.5529332149350998,0.14835869363943088
4719,5.0,3.0,200.0,120.0,3.588463205398512,0.48889783329130054
4720,3.0,2.0,101.0,64.0,0.41323201226956013,0.4599708504165143
4721,4.0,3.0,153.0,90.0,2.5215056848193096,0.18379767686733223
4722,1.0,1.0,41.0,33.0,-1.9755227597494909,0.18450173067720826
4723,2.0,1.0,60.0,55.0,-1.1313450196782489,0.3532832513737465
4724,3.0,2.0,105.0,105.0,1.126778705464935,0.008728137483582902
